aa + ins [min],IR-beta-pY1146,IRS-pS636/639,AMPK-pT172,TSC2-pS1387,Akt-pT308,Akt-pS473,mTOR-pS2448,mTOR-pS2481,p70-S6K-pT389,PRAS40-pS183,PRAS40-pT246,GAPDH,name,method,insulin
0,100,100,100,100,100,100,100,100,100,100,100,100,AS001_EQ,normalized to 0 minute (divided by value at 0),yes
1,446.62,929.3,2410.87,224.03,1686.1,1502.44,127.27,31.12,34427.66,520.75,756.68,109.47,AS001_EQ,normalized to 0 minute (divided by value at 0),yes
3,630.24,362.05,4479.54,176.64,4526.43,6436.98,213.94,384.89,45799.47,1074.81,1758.92,91.19,AS001_EQ,normalized to 0 minute (divided by value at 0),yes
5,464.9,1219.02,5202.71,223.68,6632.79,7863.7,329.09,167.82,118067.55,573.48,1791.4,92.81,AS001_EQ,normalized to 0 minute (divided by value at 0),yes
10,818.26,2699.79,4604.82,355.74,7992.57,10126.31,507.23,600.91,336156.38,989.34,2398.06,109.22,AS001_EQ,normalized to 0 minute (divided by value at 0),yes
15,830.18,3381.34,3220.86,157.45,7764.1,11124.1,369.43,352.78,464147.34,513.16,2593,90.89,AS001_EQ,normalized to 0 minute (divided by value at 0),yes
30,235.03,3087.67,511.4,125.52,2808.68,7294.39,274.41,634.39,248257.45,399.17,1393.25,95.58,AS001_EQ,normalized to 0 minute (divided by value at 0),yes
45,713.97,6656.32,1095,295.23,2434.16,6138.41,425.65,888.75,596629.79,811.27,2024.39,94.26,AS001_EQ,normalized to 0 minute (divided by value at 0),yes
60,666.27,8627.18,854.5,271.28,1232.35,4826.52,441.63,827.69,620887.5,1148.12,2015.42,105.57,AS001_EQ,normalized to 0 minute (divided by value at 0),yes
120,790.68,3688.76,1232.57,288.23,697.55,2702.15,411.21,1077.91,414288.03,737.57,1596.17,98.55,AS001_EQ,normalized to 0 minute (divided by value at 0),yes
0,1,1,1,1,1,1,1,1,1,1,1,,AS001_EQ,Normalized to loading control (GAPDH) for specific value at each time point,yes
1,4.07983922535855,8.48908376724217,22.023111354709,2.0464967571024,15.4023933497762,13.7246734265095,1.16260162601626,0.284278797844158,314.49401662556,4.7570110532566,6.91221339179684,,AS001_EQ,Normalized to loading control (GAPDH) for specific value at each time point,yes
3,6.91128413203202,3.97028182914793,49.1231494681434,1.93705450159009,49.6373505866871,70.5886610373945,2.34609058010747,4.22074788902292,502.242241473846,11.7864897466828,19.2885184779033,,AS001_EQ,Normalized to loading control (GAPDH) for specific value at each time point,yes
5,5.00915849585174,13.1345760155156,56.057644650361,2.41008512013792,71.4663290593686,84.7290162697985,3.54584635276371,1.80821032216356,1272.14254929426,6.17907553065403,19.3017993750673,,AS001_EQ,Normalized to loading control (GAPDH) for specific value at each time point,yes
10,7.49185130928401,24.7188243911372,42.1609595312214,3.25709577000549,73.1786302874931,92.7147958249405,4.64411279985351,5.50183116645303,3077.791430141,9.05823109320637,21.9562351217726,,AS001_EQ,Normalized to loading control (GAPDH) for specific value at each time point,yes
15,9.13389811860491,37.2025525360326,35.4369017493674,1.73231378589504,85.423038838156,122.390802068434,4.06458356254814,3.88139509296952,5106.69314556057,5.6459456485862,28.5289910881285,,AS001_EQ,Normalized to loading control (GAPDH) for specific value at each time point,yes
30,2.45898723582339,32.3045616237707,5.35049173467253,1.31324544883867,29.3856455325382,76.3171165515798,2.87099811676083,6.63726721071354,2597.37863569784,4.17629211132036,14.5767943084327,,AS001_EQ,Normalized to loading control (GAPDH) for specific value at each time point,yes
45,7.57447485677912,70.616592403989,11.6168045830681,3.13208147676639,25.8238913643115,65.1221090600467,4.51570125185657,9.42870782940802,6329.617971568,8.60672607680883,21.4766603012943,,AS001_EQ,Normalized to loading control (GAPDH) for specific value at each time point,yes
60,6.31116794543905,81.7199962110448,8.09415553661078,2.56966941365918,11.673297338259,45.7186700767264,4.18329070758738,7.84020081462537,5881.28729752771,10.8754380979445,19.0908402008146,,AS001_EQ,Normalized to loading control (GAPDH) for specific value at each time point,yes
120,8.02313546423135,37.4303399289701,12.5070522577372,2.92470826991375,7.078132927448,27.4190766108574,4.17260273972603,10.9376966007103,4203.83592085236,7.48422120750888,16.1965499746322,,AS001_EQ,Normalized to loading control (GAPDH) for specific value at each time point,yes
